[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:34:05,840: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_19_34_04\data_validation\drift_report\report.yaml]
[2026-06-06 19:34:05,840: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_19_34_04\data_validation\drift_report\report.yaml]
[2026-06-06 19:34:05,840: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 19:34:05,840: INFO: networksecurity: data_validation: Saving validated train and test files.]
[2026-06-06 19:34:06,015: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 19:34:06,015: INFO: networksecurity: main: Data Validation Completed]
[2026-06-06 19:34:06,015: INFO: networksecurity: main: data Transformation started]
[2026-06-06 19:34:06,019: INFO: networksecurity: data_transformation: Entered initiate_data_transformation method of DataTransformation class]
[2026-06-06 19:34:06,019: INFO: networksecurity: data_transformation: Starting data transformation]
[2026-06-06 19:39:35,027: INFO: networksecurity: main: Initiate the data ingestion]
[2026-06-06 19:39:35,027: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 19:39:35,027: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 19:39:35,307: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 19:39:35,313: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_19_39_35\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 19:39:35,477: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 19:39:35,500: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 19:39:35,692: INFO: networksecurity: main: Data Initiation Completed]
[2026-06-06 19:39:35,712: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 19:39:35,713: INFO: networksecurity: main: Initiate the data Validation]
[2026-06-06 19:39:35,841: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:39:35,841: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:39:35,842: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:39:35,842: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:39:35,843: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:39:35,843: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:39:36,042: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_19_39_35\data_validation\drift_report\report.yaml]
[2026-06-06 19:39:36,042: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_19_39_35\data_validation\drift_report\report.yaml]
[2026-06-06 19:39:36,042: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 19:39:36,042: INFO: networksecurity: data_validation: Saving validated train and test files.]
